Jméno;Hokej.cz ID;Tym;Nazev tymu;Sezona;Pozice;Vìk;GP;P;OFF;OFF IMPACT;POINT PRODUCTION;SHOOTING;PASSING;PEN DRAWN;PP;TRA;SHOT CONTRI;HD CHANCES;HD ASSISTS;CARRIES;ENTRY PASSES;POSS EXITS;DEF;DEF IMPACT;DENIALS;RECOVERIES;ROLE DIFF;PEN TAKEN;PK;First;Second;Jmeno hrace;Akt
Jakub Flek;17397;KOM;HC Kometa Brno;2023 / 2024;útoèník;30;32;26;77;72;75;32;88;40;81;98;90;95;93;94;99;89;39;43;23;69;73;96;53;Jakub;Flek;Flek J.;17. 1. 2024
Aaron Irving;318533;SPA;HC Sparta Praha;2023 / 2024;obránce;27;32;12;60;41;50;76;49;85;45;93;95;82;80;71;79;53;14;11;41;-;60;36;5;Aaron;Irving;Irving A.;17. 1. 2024
Adam Jánošík;11534;MBL;BK Mladá Boleslav;2023 / 2024;obránce;30;34;0;7;33;1;6;1;1;-;10;19;56;20;1;1;41;36;38;6;-;82;79;53;Adam;Jánošík;Janosik A.;17. 1. 2024
Adam Jiøíèek;10096041;PLZ;HC Škoda Plzeò;2023 / 2024;obránce;17;19;1;1;3;1;15;1;82;26;33;47;7;1;19;61;88;3;4;91;-;83;92;-;Adam;Jiøíèek;Jiricek A.;17. 1. 2024
Adam Kubík;17550;CEB;Banes Motor È. Budìjovice;2023 / 2024;útoèník;24;30;18;77;71;67;75;65;44;70;89;88;94;51;86;91;66;16;16;44;80;90;22;91;Adam;Kubík;Kubik A.;17. 1. 2024
Adam Musil;49651;PCE;HC Dynamo Pardubice;2023 / 2024;útoèník;26;15;6;74;68;63;54;77;1;-;79;89;91;42;77;47;45;83;77;60;77;48;4;-;Adam;Musil;Musil A.;17. 1. 2024
Adam Najman;54066;LIB;Bílí Tygøi Liberec;2023 / 2024;útoèník;22;33;30;90;84;87;69;85;34;66;57;66;49;79;76;57;27;26;33;21;20;12;91;32;Adam;Najman;Najman A.;17. 1. 2024
Adam Polášek;10878;TRI;HC Oceláøi Tøinec;2023 / 2024;obránce;32;33;4;55;62;38;42;55;12;-;19;83;36;56;6;1;28;68;64;77;-;81;66;92;Adam;Polášek;Polasek A.;17. 1. 2024
Adam Rutar;4132550;OLO;HC Olomouc;2023 / 2024;obránce;21;28;0;12;50;1;8;1;1;-;59;29;61;35;82;89;47;11;15;8;-;13;13;23;Adam;Rutar;Rutar A.;17. 1. 2024
Adam Smith;50;TRI;HC Oceláøi Tøinec;2023 / 2024;obránce;26;32;5;66;93;36;37;47;20;-;47;80;57;76;25;46;2;70;63;70;-;47;78;72;Adam;Smith;Smith A.;17. 1. 2024
Adam Zboøil;14491;KOM;HC Kometa Brno;2023 / 2024;útoèník;27;30;11;38;40;35;18;57;75;9;63;83;69;65;63;45;21;63;59;33;56;60;20;-;Adam;Zboøil;Zboril A.;17. 1. 2024
Adrián Holešinskı;18097;PLZ;HC Škoda Plzeò;2023 / 2024;útoèník;27;31;24;56;36;67;64;70;84;64;66;33;61;54;97;33;90;68;69;38;46;25;57;-;Adrián;Holešinskı;Holesinsky A.;17. 1. 2024
Aleksi Laakso;57;PLZ;HC Škoda Plzeò;2023 / 2024;obránce;33;17;8;50;52;51;29;69;46;-;56;75;65;97;24;1;36;43;47;12;-;12;50;64;Aleksi;Laakso;Laakso A.;17. 1. 2024
Aleksi Rekonen;12;PLZ;HC Škoda Plzeò;2023 / 2024;útoèník;30;32;18;87;80;82;87;79;15;67;38;44;65;25;25;53;19;26;26;47;91;74;36;-;Aleksi;Rekonen;Rekonen A.;17. 1. 2024
Aleš Èech;10083954;MBL;BK Mladá Boleslav;2023 / 2024;obránce;19;24;3;50;74;47;12;65;98;-;49;36;84;12;66;50;57;45;46;84;-;31;6;-;Aleš;Èech;Cech A.;17. 1. 2024
Aleš Jergl;14654;MHK;Mountfield HK;2023 / 2024;útoèník;29;26;14;70;90;56;63;21;61;53;96;95;90;88;45;96;56;88;85;97;92;45;23;-;Aleš;Jergl;Jergl A.;17. 1. 2024
Alex Lintuniemi;10099575;MBL;BK Mladá Boleslav;2023 / 2024;obránce;27;30;8;28;2;61;62;31;70;-;91;73;93;85;51;50;77;90;92;73;-;72;65;96;Alex;Lintuniemi;Lintuniemi A.;17. 1. 2024
Alex Rašner;14657;OLO;HC Olomouc;2023 / 2024;obránce;27;26;7;74;54;80;54;92;43;-;86;58;79;32;94;90;78;26;27;20;-;18;98;-;Alex;Rašner;Rasner A.;17. 1. 2024
Alex Tamáši;51;MHK;Mountfield HK;2023 / 2024;útoèník;25;33;11;79;93;62;27;81;35;1;83;73;77;72;54;63;50;40;29;85;82;14;82;43;Alex;Tamáši;Tamasi A.;17. 1. 2024
Andrej Kudrna;7229427;LIT;HC VERVA Litvínov;2023 / 2024;útoèník;32;34;13;45;25;57;40;63;18;17;73;68;90;52;92;75;7;37;47;10;75;87;65;41;Andrej;Kudrna;Kudrna A.;17. 1. 2024
Andrej Nestrašil;10330;TRI;HC Oceláøi Tøinec;2023 / 2024;útoèník;32;33;29;71;55;66;68;86;19;95;22;64;14;62;19;12;36;55;52;1;64;86;45;48;Andrej;Nestrašil;Nestrasil A.;17. 1. 2024
Antonín Melka;10433;KLA;Rytíøi Kladno;2023 / 2024;útoèník;33;32;5;33;71;14;18;16;89;-;35;33;38;5;59;65;97;38;44;43;10;22;14;14;Antonín;Melka;Melka A.;17. 1. 2024
Aron Chmielewski;41531;OLO;HC Olomouc;2023 / 2024;útoèník;31;11;3;66;86;52;33;71;69;39;66;98;47;60;40;65;71;32;34;1;77;5;53;-;Aron;Chmielewski;Chmielewski A.;17. 1. 2024
Bohumil Jank;10853;MHK;Mountfield HK;2023 / 2024;obránce;31;29;4;29;51;23;70;1;32;-;46;48;41;21;44;86;16;87;78;74;-;53;15;8;Bohumil;Jank;Jank B.;17. 1. 2024
Brant Harris;32;CEB;Banes Motor È. Budìjovice;2023 / 2024;útoèník;33;31;20;57;62;47;59;59;57;65;26;29;50;20;20;42;39;27;24;58;53;25;71;67;Brant;Harris;Harris B.;17. 1. 2024
Dalibor Øezníèek;11223;OLO;HC Olomouc;2023 / 2024;obránce;31;32;13;77;70;69;92;45;1;61;17;45;35;73;41;1;6;93;97;30;-;50;85;98;Dalibor;Øezníèek;Reznicek D.;17. 1. 2024
Dalimil Mikyska;18682;KVA;HC Energie Karlovy Vary;2023 / 2024;obránce;24;21;4;79;50;81;91;60;1;-;58;8;52;64;55;51;89;46;50;97;-;4;98;-;Dalimil;Mikyska;Mikyska D.;17. 1. 2024
Daniel Gazda;17303;KOM;HC Kometa Brno;2023 / 2024;obránce;26;33;22;99;99;97;99;44;21;53;71;70;90;54;40;52;20;72;70;85;-;19;77;-;Daniel;Gazda;Gazda D.;17. 1. 2024
Daniel Kurovskı;15703;TRI;HC Oceláøi Tøinec;2023 / 2024;útoèník;25;34;13;68;45;81;78;49;17;-;48;25;94;11;20;86;22;74;67;93;39;35;32;-;Daniel;Kurovskı;Kurovsky D.;17. 1. 2024
Daniel Malák;10081964;PLZ;HC Škoda Plzeò;2023 / 2024;obránce;21;23;6;92;85;89;84;89;1;-;85;89;67;8;95;95;61;71;74;92;-;63;64;-;Daniel;Malák;Malak D.;17. 1. 2024
Daniel Voenílek;14888;TRI;HC Oceláøi Tøinec;2023 / 2024;útoèník;27;34;24;79;94;59;45;74;50;79;93;72;61;87;85;91;82;64;61;66;84;17;27;-;Daniel;Voenílek;Vozenilek D.;17. 1. 2024
David Bernad;13685;MBL;BK Mladá Boleslav;2023 / 2024;obránce;29;31;5;57;49;57;52;76;97;-;65;69;20;52;49;62;72;84;81;64;-;68;73;-;David;Bernad;Bernad D.;17. 1. 2024
David Cienciala;14107;PCE;HC Dynamo Pardubice;2023 / 2024;útoèník;27;31;22;67;47;70;51;90;13;72;74;75;56;88;40;28;86;41;27;29;89;66;42;-;David;Cienciala;Cienciala D.;17. 1. 2024
David Dvoøáèek;12539;MBL;BK Mladá Boleslav;2023 / 2024;útoèník;31;30;2;3;7;5;13;10;21;-;7;5;24;12;47;11;21;12;11;70;14;76;93;58;David;Dvoøáèek;Dvoracek D.;17. 1. 2024
Dávid Gríger;41581;KVA;HC Energie Karlovy Vary;2023 / 2024;útoèník;29;31;29;96;94;96;98;84;40;46;87;54;88;73;75;81;59;17;17;84;52;4;21;-;Dávid;Gríger;Griger D.;17. 1. 2024
David Kaše;15634;LIT;HC VERVA Litvínov;2023 / 2024;útoèník;26;32;29;87;88;78;60;79;90;69;88;95;81;86;83;39;75;68;71;73;54;54;18;-;David;Kaše;Kase D.;17. 1. 2024
David Kofroò;18961;KVA;HC Energie Karlovy Vary;2023 / 2024;útoèník;24;25;3;4;14;4;21;1;47;-;17;19;14;14;36;6;98;89;88;50;6;96;97;-;David;Kofroò;Kofron D.;17. 1. 2024
David Kvasnièka;19921;PLZ;HC Škoda Plzeò;2023 / 2024;obránce;24;31;3;47;73;30;49;37;81;-;61;52;30;69;92;76;62;66;68;11;-;9;50;7;David;Kvasnièka;Kvasnicka D.;17. 1. 2024
David Musil;11411;PCE;HC Dynamo Pardubice;2023 / 2024;obránce;30;23;6;64;21;73;81;70;14;-;14;34;19;70;3;37;3;97;93;62;-;77;52;19;David;Musil;Musil D.;17. 1. 2024
David Nìmeèek;14256;SPA;HC Sparta Praha;2023 / 2024;obránce;28;31;4;30;30;39;48;57;71;-;39;56;58;26;67;32;80;28;21;9;-;55;30;21;David;Nìmeèek;Nemecek D.;17. 1. 2024
David Škùrek;12848;OLO;HC Olomouc;2023 / 2024;obránce;30;13;0;26;96;1;24;1;39;-;21;78;28;24;14;68;8;48;55;96;-;85;24;67;David;Škùrek;Skurek D.;17. 1. 2024
David Šastnı;17629;MHK;Mountfield HK;2023 / 2024;útoèník;30;33;14;52;43;58;35;75;82;33;92;94;54;83;95;82;79;38;30;72;71;43;95;-;David;Šastnı;Stastny D.;17. 1. 2024
Denis Kusı;17152;KLA;Rytíøi Kladno;2023 / 2024;útoèník;26;24;19;92;76;94;82;95;20;23;72;76;77;43;73;20;94;89;94;74;39;7;57;-;Denis;Kusı;Kusy D.;17. 1. 2024
Denis Zeman;51841;LIT;HC VERVA Litvínov;2023 / 2024;obránce;22;33;3;40;81;22;11;41;83;-;52;33;26;41;89;59;49;47;54;94;-;7;5;79;Denis;Zeman;Zeman D.;17. 1. 2024
Deven Sideroff;48;KLA;Rytíøi Kladno;2023 / 2024;útoèník;26;29;11;40;38;44;70;17;60;18;37;47;48;28;70;50;14;84;89;31;68;25;60;42;Deven;Sideroff;Sideroff D.;17. 1. 2024
Dominik Lakatoš;15669;VIT;HC Vítkovice RIDERA;2023 / 2024;útoèník;26;30;20;57;81;46;62;12;55;62;82;75;53;67;68;70;88;53;56;59;70;85;30;8;Dominik;Lakatoš;Lakatos D.;17. 1. 2024
Dominik Simon;13;CEB;Banes Motor È. Budìjovice;2023 / 2024;útoèník;29;30;12;42;28;50;44;65;41;20;39;60;32;66;5;20;81;57;54;11;98;78;54;-;Dominik;Simon;Simon D.;17. 1. 2024
Eduards Tralmaks;52;KLA;Rytíøi Kladno;2023 / 2024;útoèník;26;32;22;61;42;69;92;44;92;91;40;57;60;27;35;38;57;92;93;25;74;48;11;-;Eduards;Tralmaks;Tralmaks E.;17. 1. 2024
Evan Jasper;35;MHK;Mountfield HK;2023 / 2024;útoèník;31;34;16;39;26;46;55;53;37;57;1;3;30;8;1;27;16;10;7;27;34;32;44;-;Evan;Jasper;Jasper E.;17. 1. 2024
Filip Chlapík;15568;SPA;HC Sparta Praha;2023 / 2024;útoèník;26;30;31;94;63;98;94;99;63;30;96;97;75;96;97;97;80;93;92;55;5;69;33;-;Filip;Chlapík;Chlapik F.;17. 1. 2024
Filip Jansa;10079000;PLZ;HC Škoda Plzeò;2023 / 2024;útoèník;21;32;5;22;22;31;59;21;8;-;5;14;5;34;15;10;10;33;37;13;65;20;86;75;Filip;Jansa;Jansa F.;17. 1. 2024
Filip Koffer;1690717;KVA;HC Energie Karlovy Vary;2023 / 2024;útoèník;22;32;8;35;10;53;73;52;30;-;8;11;10;19;21;24;3;62;63;97;38;89;5;79;Filip;Koffer;Koffer F.;17. 1. 2024
Filip Pavlík;11583;MBL;BK Mladá Boleslav;2023 / 2024;obránce;31;32;5;23;22;37;33;46;42;-;44;81;14;51;35;88;11;21;16;39;-;96;40;-;Filip;Pavlík;Pavlik F.;17. 1. 2024
Filip Pøikryl;1055796;CEB;Banes Motor È. Budìjovice;2023 / 2024;útoèník;22;33;14;66;48;73;67;81;16;7;52;42;20;47;33;57;94;71;65;95;50;46;52;44;Filip;Pøikryl;Prikryl F.;17. 1. 2024
Filip Pyrochta;14636;MBL;BK Mladá Boleslav;2023 / 2024;obránce;27;34;16;27;64;25;32;35;31;85;89;71;44;82;97;87;93;57;60;18;-;10;87;-;Filip;Pyrochta;Pyrochta F.;17. 1. 2024
Filip Suchı;17142;MBL;BK Mladá Boleslav;2023 / 2024;útoèník;25;23;3;16;55;5;3;24;54;-;14;10;55;26;6;17;9;85;84;79;28;20;93;56;Filip;Suchı;Suchy F.;17. 1. 2024
Giorgio Estephan;10099336;MHK;Mountfield HK;2023 / 2024;útoèník;26;22;12;56;47;65;89;11;39;31;47;50;76;17;8;69;74;81;81;77;18;29;40;-;Giorgio;Estephan;Estephan G.;17. 1. 2024
Chris Martenet;41;KLA;Rytíøi Kladno;2023 / 2024;obránce;26;29;2;18;37;20;58;20;60;-;3;4;18;25;2;1;23;61;65;51;-;26;3;54;Chris;Martenet;Martenet C.;17. 1. 2024
Christophe Lalancette;318379;MHK;Mountfield HK;2023 / 2024;útoèník;29;34;17;13;9;23;38;40;55;25;68;56;34;81;44;80;49;65;64;84;53;37;77;-;Christophe;Lalancette;Lalancette C.;17. 1. 2024
Ian McCoshen;42;LIB;Bílí Tygøi Liberec;2023 / 2024;obránce;28;34;9;59;38;65;40;81;53;23;66;27;62;50;75;65;89;86;89;21;-;62;33;49;Ian;McCoshen;McCoshen I.;17. 1. 2024
Iikka Kangasniemi;36;KVA;HC Energie Karlovy Vary;2023 / 2024;útoèník;28;25;14;65;87;57;7;82;88;11;64;47;39;90;81;77;28;6;9;45;16;3;94;-;Iikka;Kangasniemi;Kangasniemi I.;17. 1. 2024
Jáchym Kondelík;56;CEB;Banes Motor È. Budìjovice;2023 / 2024;útoèník;23;22;19;82;77;76;40;94;80;96;30;30;36;77;22;4;36;35;41;16;89;54;76;59;Jáchym;Kondelík;Kondelik J.;17. 1. 2024
Jake Dotchin;10082784;KLA;Rytíøi Kladno;2023 / 2024;obránce;29;27;15;80;56;84;51;96;87;34;29;66;15;47;26;1;65;39;43;76;-;37;7;14;Jake;Dotchin;Dotchin J.;17. 1. 2024
Jakub Babka;12028;KLA;Rytíøi Kladno;2023 / 2024;obránce;31;29;1;2;10;1;11;1;52;-;42;14;86;1;76;99;26;1;1;1;-;14;94;-;Jakub;Babka;Babka J.;17. 1. 2024
Jakub Dvoøák;10086113;LIB;Bílí Tygøi Liberec;2023 / 2024;obránce;18;19;3;84;65;83;94;22;95;-;38;1;71;40;61;64;9;23;24;99;-;95;2;-;Jakub;Dvoøák;Dvorak J.;17. 1. 2024
Jakub Jeøábek;10842;TRI;HC Oceláøi Tøinec;2023 / 2024;obránce;32;34;17;17;23;32;2;53;44;77;51;67;31;89;36;41;45;50;45;27;-;66;84;99;Jakub;Jeøábek;Jerabek J.;17. 1. 2024
Jakub Klepiš;2219;KLA;Rytíøi Kladno;2023 / 2024;útoèník;39;30;24;67;58;73;35;96;27;60;31;59;4;85;59;25;24;77;82;40;19;43;26;-;Jakub;Klepiš;Klepis J.;17. 1. 2024
Jakub Koneènı;9422597;SPA;HC Sparta Praha;2023 / 2024;útoèník;21;32;7;32;27;32;25;56;71;-;63;52;56;58;87;40;54;6;4;52;58;56;85;9;Jakub;Koneènı;Konecny J.;17. 1. 2024
Jakub Kos;10082389;KOM;HC Kometa Brno;2023 / 2024;útoèník;20;18;6;63;35;80;57;69;28;-;52;45;70;41;27;74;28;12;13;26;93;98;87;-;Jakub;Kos;Kos J.;17. 1. 2024
Jakub Kotala;14050;VIT;HC Vítkovice RIDERA;2023 / 2024;útoèník;27;16;5;31;31;32;38;55;9;-;41;59;40;30;61;73;20;21;23;32;67;35;97;-;Jakub;Kotala;Kotala J.;17. 1. 2024
Jakub Krejèík;11158;SPA;HC Sparta Praha;2023 / 2024;obránce;32;33;8;70;77;55;57;58;59;1;80;88;70;86;91;1;90;89;87;13;-;24;38;-;Jakub;Krejèík;Krejcik J.;17. 1. 2024
Jakub Lev;10988;PLZ;HC Škoda Plzeò;2023 / 2024;útoèník;32;32;17;36;29;42;65;28;84;58;11;40;12;21;32;11;38;22;22;1;49;71;17;13;Jakub;Lev;Lev J.;17. 1. 2024
Jakub Navrátil;31781;OLO;HC Olomouc;2023 / 2024;útoèník;24;34;22;84;70;88;96;67;28;32;46;63;37;31;85;40;41;4;4;48;71;80;69;-;Jakub;Navrátil;Navratil J.;17. 1. 2024
Jakub Orsava;12797;OLO;HC Olomouc;2023 / 2024;útoèník;32;26;11;44;66;34;26;42;30;37;73;65;66;59;80;60;31;25;28;56;81;9;19;17;Jakub;Orsava;Orsava J.;17. 1. 2024
Jakub Pour;21081;PLZ;HC Škoda Plzeò;2023 / 2024;útoèník;24;30;11;53;67;41;36;71;62;38;86;80;71;44;79;84;92;70;73;65;61;53;13;-;Jakub;Pour;Pour J.;17. 1. 2024
Jakub Rychlovskı;53011;LIB;Bílí Tygøi Liberec;2023 / 2024;útoèník;22;36;31;93;89;87;90;75;67;56;83;69;86;84;91;63;44;13;15;46;25;27;61;99;Jakub;Rychlovskı;Rychlovsky J.;17. 1. 2024
Jakub Sirota;49;OLO;HC Olomouc;2023 / 2024;obránce;24;27;9;89;94;76;79;75;55;31;96;61;92;89;63;91;86;81;88;36;-;50;42;9;Jakub;Sirota;Sirota J.;17. 1. 2024
Jakub Strnad;11179;KLA;Rytíøi Kladno;2023 / 2024;útoèník;31;24;2;6;22;4;30;1;36;-;12;18;19;24;11;22;66;2;6;19;24;6;5;71;Jakub;Strnad;Strnad J.;17. 1. 2024
Jakub Valskı;8918;CEB;Banes Motor È. Budìjovice;2023 / 2024;útoèník;34;27;11;71;44;86;90;39;22;-;75;55;87;63;30;85;18;96;94;75;91;85;6;-;Jakub;Valskı;Valsky J.;17. 1. 2024
Jan Bambula;36851;OLO;HC Olomouc;2023 / 2024;útoèník;23;30;12;35;54;25;50;17;97;-;68;70;79;42;22;50;56;75;80;94;88;91;73;83;Jan;Bambula;Bambula J.;17. 1. 2024
Jan Buchtele;10883;SPA;HC Sparta Praha;2023 / 2024;útoèník;33;34;8;31;32;26;69;6;47;-;19;43;49;27;46;13;4;45;39;63;3;42;25;50;Jan;Buchtele;Buchtele J.;17. 1. 2024
Jan Eberle;9498;MHK;Mountfield HK;2023 / 2024;útoèník;34;22;3;22;38;21;39;7;54;-;44;55;72;17;29;71;76;76;74;18;15;82;78;-;Jan;Eberle;Eberle J.;17. 1. 2024
Jan Hladonik;18968;KVA;HC Energie Karlovy Vary;2023 / 2024;útoèník;24;31;13;50;75;35;19;60;58;83;23;12;59;10;50;44;60;61;63;27;16;45;47;-;Jan;Hladonik;Hladonik J.;17. 1. 2024
Jan Káòa;12325;OLO;HC Olomouc;2023 / 2024;útoèník;32;25;11;41;79;19;9;64;33;92;53;73;18;77;49;27;45;34;42;71;95;27;64;-;Jan;Káòa;Kana J.;17. 1. 2024
Jan Knotek;10144;OLO;HC Olomouc;2023 / 2024;útoèník;35;34;9;12;49;7;5;13;62;56;46;44;32;46;55;31;84;69;75;41;63;79;12;51;Jan;Knotek;Knotek J.;17. 1. 2024
Jan Koláø;6601;PCE;HC Dynamo Pardubice;2023 / 2024;obránce;37;28;5;56;31;59;60;59;57;-;15;81;23;57;4;1;39;10;7;19;-;28;71;-;Jan;Koláø;Kolar J.;17. 1. 2024
Jan Košálek;14506;PCE;HC Dynamo Pardubice;2023 / 2024;obránce;28;24;13;67;59;56;44;72;49;42;97;98;78;92;77;89;76;38;33;44;-;3;53;-;Jan;Košálek;Kostalek J.;17. 1. 2024
Jan Mandát;14310;PCE;HC Dynamo Pardubice;2023 / 2024;útoèník;27;30;8;14;11;20;28;47;42;-;49;67;34;50;26;54;70;86;79;36;85;18;25;80;Jan;Mandát;Mandat J.;17. 1. 2024
Jan Ordoš;14965;CEB;Banes Motor È. Budìjovice;2023 / 2024;útoèník;27;33;17;53;40;61;66;46;65;34;19;24;63;34;14;19;25;24;21;8;27;74;59;78;Jan;Ordoš;Ordos J.;17. 1. 2024
Jan Piskáèek;9521;PLZ;HC Škoda Plzeò;2023 / 2024;obránce;33;32;9;78;46;82;73;90;13;-;31;31;24;49;22;73;40;24;18;57;-;90;4;77;Jan;Piskáèek;Piskacek J.;17. 1. 2024
Jan Schleiss;13640;PLZ;HC Škoda Plzeò;2023 / 2024;útoèník;28;32;10;7;17;12;5;22;96;55;50;49;45;22;91;55;67;28;28;24;65;52;46;-;Jan;Schleiss;Schleiss J.;17. 1. 2024
Jan Stránskı;9676;MBL;BK Mladá Boleslav;2023 / 2024;útoèník;33;23;0;1;12;1;8;1;46;-;3;14;9;1;24;3;17;13;12;41;59;61;19;45;Jan;Stránskı;Stransky J.;17. 1. 2024
Jan Šèotka;14190;KOM;HC Kometa Brno;2023 / 2024;obránce;27;29;20;38;6;74;43;87;34;94;84;63;69;62;62;70;67;55;49;66;-;39;75;74;Jan;Šèotka;Scotka J.;17. 1. 2024
Jan Šír;36171;LIB;Bílí Tygøi Liberec;2023 / 2024;útoèník;23;35;6;12;1;28;56;30;61;-;4;3;3;39;7;45;23;3;2;17;13;97;4;20;Jan;Šír;Sir J.;17. 1. 2024
Jan Štencel;13684;CEB;Banes Motor È. Budìjovice;2023 / 2024;obránce;28;33;12;52;92;18;30;39;89;69;57;57;42;83;12;43;68;85;84;79;-;88;82;11;Jan;Štencel;Stencel J.;17. 1. 2024
Jan Švrèek;5625;OLO;HC Olomouc;2023 / 2024;obránce;37;32;2;10;29;8;16;11;93;-;7;43;1;55;30;1;18;7;9;22;-;40;28;57;Jan;Švrèek;Svrcek J.;17. 1. 2024
Jan Závora;10081997;MBL;BK Mladá Boleslav;2023 / 2024;útoèník;21;24;1;1;6;3;28;1;24;-;1;1;2;3;20;1;18;48;46;18;42;39;89;-;Jan;Závora;Zavora J.;17. 1. 2024
Jani Lajunen;40;SPA;HC Sparta Praha;2023 / 2024;útoèník;33;29;13;42;45;43;20;45;36;14;70;56;41;96;70;23;74;96;95;35;83;4;18;92;Jani;Lajunen;Lajunen J.;17. 1. 2024
Janis Jaks;10083186;LIT;HC VERVA Litvínov;2023 / 2024;obránce;28;26;14;75;69;66;55;64;73;47;43;60;50;66;68;1;37;35;40;52;-;8;47;-;Janis;Jaks;Jaks J.;17. 1. 2024
Jaromír Pérez;10095907;LIB;Bílí Tygøi Liberec;2023 / 2024;útoèník;18;32;7;34;18;48;52;38;89;-;32;21;33;76;60;35;11;55;54;34;24;59;13;-;Jaromír;Pérez;Perez Lisa J.;17. 1. 2024
Jaromír Pytlík;50181;KLA;Rytíøi Kladno;2023 / 2024;útoèník;22;32;11;40;61;29;45;31;52;41;28;16;28;7;46;52;61;80;78;98;40;63;61;27;Jaromír;Pytlík;Pytlik J.;17. 1. 2024
Jaroslav Vlach;11825;LIB;Bílí Tygøi Liberec;2023 / 2024;útoèník;31;36;17;60;21;81;89;58;38;43;13;34;31;35;16;5;5;19;20;69;40;95;3;95;Jaroslav;Vlach;Vlach J.;17. 1. 2024
Jayce Hawryluk;33;LIB;Bílí Tygøi Liberec;2023 / 2024;útoèník;27;23;12;85;88;74;42;95;82;24;77;38;26;98;69;66;98;83;87;71;19;75;28;-;Jayce;Hawryluk;Hawryluk J.;17. 1. 2024
Jérémie Ouellet-Blain;317639;MHK;Mountfield HK;2023 / 2024;obránce;31;33;22;62;43;64;63;68;30;91;68;43;76;78;37;27;46;53;44;71;-;86;43;15;Jérémie;Ouellet-Blain;Ouellet-Blain J.;17. 1. 2024
Jindøich Abdul;14203;LIT;HC VERVA Litvínov;2023 / 2024;útoèník;27;34;28;97;96;96;86;98;73;40;97;96;87;98;93;90;87;24;27;22;36;16;76;-;Jindøich;Abdul;Abdul J.;17. 1. 2024
